timestamp,ppg_raw,diff,classification
1773387431.7803352,262140,12072.0,VALID
1773387431.808136,262140,0.0,VALID
1773387431.8385768,262140,0.0,VALID
1773387431.868327,262140,0.0,VALID
1773387431.8694668,262140,0.0,VALID
1773387431.898604,262140,0.0,VALID
1773387431.92857,262140,0.0,VALID
1773387431.931052,262140,0.0,VALID
1773387431.959888,262140,0.0,VALID
1773387431.988032,262140,0.0,VALID
1773387432.019223,262140,0.0,VALID
1773387432.02021,262140,0.0,VALID
1773387432.048262,262140,0.0,VALID
1773387432.0790138,262140,0.0,VALID
1773387432.080456,261417,723.0,VALID
1773387432.108609,254420,6997.0,VALID
1773387432.13876,244072,10348.0,VALID
1773387432.168328,236999,7073.0,VALID
1773387432.169429,225813,11186.0,VALID
1773387432.198439,217586,8227.0,VALID
1773387432.228972,207170,10416.0,VALID
1773387432.230319,199607,7563.0,VALID
1773387432.258409,199696,89.0,VALID
1773387432.289509,199808,112.0,VALID
1773387432.289762,199808,0.0,VALID
1773387432.318559,199817,9.0,VALID
1773387432.4709382,199914,97.0,VALID
1773387432.561416,199808,106.0,VALID
1773387432.6529338,199982,174.0,VALID
1773387432.681484,10519,189463.0,POSSIBLE_PHYS_CHANGE
1773387432.71118,9133,1386.0,VALID
1773387432.738313,8559,574.0,VALID
1773387432.739511,8543,16.0,VALID
1773387432.768776,8644,101.0,VALID
1773387432.7983391,9011,367.0,VALID
1773387432.799354,10295,1284.0,VALID
1773387432.828911,12142,1847.0,VALID
1773387432.8580852,15293,3151.0,VALID
1773387432.888777,24286,8993.0,VALID
1773387432.889438,45541,21255.0,POSSIBLE_PHYS_CHANGE
1773387432.918266,99481,53940.0,POSSIBLE_PHYS_CHANGE
1773387432.948798,199808,100327.0,POSSIBLE_PHYS_CHANGE
1773387432.949482,262140,62332.0,POSSIBLE_PHYS_CHANGE
1773387432.978178,262140,0.0,VALID
1773387433.008712,262140,0.0,VALID
1773387433.038344,262140,0.0,VALID
1773387433.0394912,262140,0.0,POSSIBLE_PHYS_CHANGE
1773387433.0687208,262140,0.0,VALID
1773387433.099238,256022,6118.0,VALID
1773387433.101394,249792,6230.0,VALID
1773387433.131367,239514,10278.0,VALID
1773387433.158794,232542,6972.0,VALID
1773387433.189569,221818,10724.0,VALID
1773387433.19046,213834,7984.0,VALID
1773387433.2184231,203548,10286.0,VALID
1773387433.278908,203649,101.0,VALID
1773387433.280679,203676,27.0,VALID
1773387433.280907,203743,67.0,VALID
1773387433.3087769,203758,15.0,VALID
1773387433.430414,204163,405.0,VALID
1773387433.552128,205103,940.0,VALID
1773387433.642008,205936,833.0,VALID
1773387433.7304451,206684,748.0,VALID
1773387433.851061,207058,374.0,VALID
1773387433.941184,207357,299.0,VALID
1773387434.040153,207279,78.0,VALID
1773387434.15218,207497,218.0,VALID
1773387434.2428071,207446,51.0,VALID
1773387434.331168,208187,741.0,VALID
1773387434.358547,34986,173201.0,POSSIBLE_PHYS_CHANGE
1773387434.388802,30777,4209.0,VALID
1773387434.4186811,31141,364.0,VALID
1773387434.420424,34649,3508.0,VALID
1773387434.448551,42873,8224.0,VALID
1773387434.478559,54289,11416.0,VALID
1773387434.479475,75998,21709.0,POSSIBLE_PHYS_CHANGE
1773387434.50864,127229,51231.0,POSSIBLE_PHYS_CHANGE
1773387434.538272,235937,108708.0,POSSIBLE_PHYS_CHANGE
1773387434.568845,262140,26203.0,POSSIBLE_PHYS_CHANGE
1773387434.56951,262140,0.0,VALID
1773387434.5983338,262140,0.0,VALID
1773387434.629698,257739,4401.0,VALID
1773387434.630677,246898,10841.0,VALID
1773387434.658769,239569,7329.0,VALID
1773387434.688807,228589,10980.0,VALID
1773387434.719101,220825,7764.0,VALID
1773387434.720777,210541,10284.0,VALID
1773387434.74929,203012,7529.0,VALID
1773387434.779062,203221,209.0,VALID
1773387434.780561,203343,122.0,VALID
1773387434.809149,203177,166.0,VALID
1773387434.8385348,203298,121.0,VALID
1773387434.9611552,202963,335.0,VALID
1773387435.0806882,203490,527.0,VALID
1773387435.171257,204035,545.0,VALID
1773387435.2611682,204126,91.0,VALID
1773387435.38069,204470,344.0,VALID
1773387435.4712262,204708,238.0,VALID
